id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบในเฉลย,ร้อยละในเฉลย,ร้อยละในโจทย์,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
chap-07-trigonometry-q06,chap-07-trigonometry,รูป,mc,3,4,0,0%,0%,🔴 ไม่เคยเห็น,-46 10 16 56,
chap-07-trigonometry-q07,chap-07-trigonometry,รูป,mc,2,106,0,0%,0%,🔴 ไม่เคยเห็น,-0.35 6.65 -0.5 2.4 0.07854 1.99383,
chap-07-trigonometry-q08,chap-07-trigonometry,รูป,mc,2,7,3,42%,14%,🟠 น่าสงสัย,110 255 220 46,
chap-07-trigonometry-q100,chap-07-trigonometry,รูป,mc,3,7,4,57%,42%,🟢 น่าจะเห็น,50 220 320,
chap-07-trigonometry-q101,chap-07-trigonometry,รูป,mc,1,7,1,14%,0%,🟠 น่าสงสัย,55 235 210 380 415 264,
chap-07-trigonometry-q102,chap-07-trigonometry,รูป,mc,1,6,3,50%,50%,🟢 น่าจะเห็น,160 130 110,
chap-07-trigonometry-q103,chap-07-trigonometry,รูป,mc,2,6,1,16%,0%,🟠 น่าสงสัย,-18 16 -6 -66 0.666,
chap-07-trigonometry-q104,chap-07-trigonometry,รูป,mc,3,8,3,37%,0%,🟠 น่าสงสัย,-18 -8 -68 -4 0.896,
chap-07-trigonometry-q105,chap-07-trigonometry,รูป,fill,3,5,1,20%,0%,🟠 น่าสงสัย,230 300 195 50,
chap-07-trigonometry-q106,chap-07-trigonometry,รูป,mc,0,9,0,0%,0%,🔴 ไม่เคยเห็น,190 65 302.58 130 260 325,
chap-07-trigonometry-q107,chap-07-trigonometry,รูป,mc,3,2,1,50%,0%,🟢 น่าจะเห็น,54,
chap-07-trigonometry-q108,chap-07-trigonometry,รูป,fill,0.75,5,2,40%,0%,🟠 น่าสงสัย,220 280 230,
chap-07-trigonometry-q109,chap-07-trigonometry,รูป,mc,3,7,4,57%,42%,🟢 น่าจะเห็น,220 290 150,
chap-07-trigonometry-q11,chap-07-trigonometry,รูป,mc,4,5,0,0%,0%,🔴 ไม่เคยเห็น,100 250 190 130 50,
chap-07-trigonometry-q110,chap-07-trigonometry,รูป,mc,2,10,6,60%,20%,🟢 น่าจะเห็น,50 220 250 170,
chap-07-trigonometry-q111,chap-07-trigonometry,รูป,fill,2.25,6,2,33%,16%,🟠 น่าสงสัย,160 50 235 280,
chap-07-trigonometry-q112,chap-07-trigonometry,รูป,mc,0,3,2,66%,0%,🟢 น่าจะเห็น,220,
chap-07-trigonometry-q113,chap-07-trigonometry,รูป,mc,3,9,2,22%,22%,🟠 น่าสงสัย,250 210 319 275 174 40,
chap-07-trigonometry-q114,chap-07-trigonometry,รูป,fill,25,13,3,23%,23%,🟠 น่าสงสัย,40 250 229 280 400 324,
chap-07-trigonometry-q115,chap-07-trigonometry,รูป,mc,0,6,0,0%,0%,🔴 ไม่เคยเห็น,60 250 340 147 98 42,
